name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB,ano,tipo,legendado,temporada,episodio,cam,dublado,provedor,generos,date
#Luimelia,[Max],https://image.tmdb.org/t/p/w600_and_h900_bestv2/jLc4QxhL72mDbTyGBsQu1ji9mvT.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/902125.mp4,1280,720,29,21119,0.16483,,Série,False,3.0,4.0,False,False,"M, a, x","Comédia, Drama, Família",
#Luimelia,[Max],https://image.tmdb.org/t/p/w600_and_h900_bestv2/qz5kwKkEWR8gaoEn13rWzdX3Xd.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/902117.mp4,1280,720,29,21782,0.169955,,Série,False,2.0,2.0,False,False,"M, a, x","Comédia, Drama, Família",
.hack,[Animes],https://image.tmdb.org/t/p/w600_and_h900_bestv2/6fSxgsHNxGoO8EKa3E981Lxk9BA.jpg,http://dns.clientetv.net:8080/series/Beckt2/64858265/952714.mp4,710,480,23,34096,0.329545,,Série,False,1.0,25.0,False,False,,,
.hack,[Animes],https://image.tmdb.org/t/p/w600_and_h900_bestv2/6fSxgsHNxGoO8EKa3E981Lxk9BA.jpg,http://dns.clientetv.net:8080/series/Beckt2/64858265/952696.mp4,710,480,23,34113,0.329982,,Série,False,1.0,7.0,False,False,,,
007 Na Mira dos Assassinos,Filmes | 007 Coleção,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fbytkyUibUnksjBEpIwcMxQJTfJ.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/827.mp4,1280,546,23,188902,2.442743,"<re.Match object; span=(27, 33), match='(1985)'>",Filme,False,,,False,False,,,1985-05-24
007 Sem Tempo para Morrer,Filmes | 007 Coleção,https://image.tmdb.org/t/p/w600_and_h900_bestv2/luE0KG1rWfUptbgNtlNtL5sihyd.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/832.mp4,1280,534,23,235056,3.033489,"<re.Match object; span=(26, 32), match='(2021)'>",Filme,False,,,False,False,,,2021-09-29
1 Contra Todos,Séries | Prime Video,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tIDXj3kC03npk11RokZ1gKdQ5Xa.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/343415.mp4,848,480,29,69986,0.154821,,Série,False,2.0,8.0,False,False,"D, i, s, n, e, y,  , P, l, u, s","Crime, Drama",
1 Contra Todos,[Disney+],http://dns.clientetv.xyz:8000/images/17a8c132ab6eb0000f08c16d52dabf8e.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/22484.mp4,1280,720,29,72938,0.569832,,Série,False,2.0,5.0,False,False,"D, i, s, n, e, y,  , P, l, u, s","Crime, Drama",
10 Anos de Pura Amizade,Comédia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/mxHwFDH0HlAZjVAnX0gd619Bahk.jpg,http://dns.clientetv.net:8080/movie/Beckt2/64858265/945100.mp4,1920,1080,23,144824,1.999006,"<re.Match object; span=(24, 30), match='(2012)'>",Filme,False,,,False,False,,,2012-09-14
10 Dias de um Homem Bom,Filmes | Netflix,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ihMCcc0vBQQyphiaoyoTvpJlTPi.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/241905.mp4,1280,578,25,186461,2.545361,"<re.Match object; span=(24, 30), match='(2023)'>",Filme,False,,,False,False,"Netflix, Netflix basic with Ads","Crime, Drama",2023-02-10
10 Dias de um Homem Mau,Ação e Crime,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fl0vUwiKyxEauecs9UCh8cGRzZH.jpg,http://dns.acaidopara.net:8080/movie/igorcerqueira/ic120142750/910903.mp4,1920,868,25,186261,1.361309,"<re.Match object; span=(24, 30), match='(2023)'>",Filme,False,,,False,False,"Netflix, Netflix basic with Ads","Crime, Drama",2023-08-18
10 Regras Para Um Relacionamento Aberto,Romance,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fTl5kUEZbxyrXasbjToOUsiBSOU.jpg,http://dns.clientetv.net:8080/movie/guitv31/Gu102/945101.mp4,1920,1080,23,135566,1.87295,"<re.Match object; span=(40, 46), match='(2013)'>",Filme,False,,,False,False,,,2013-08-23
10 jours en or,Comédia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hzN0LwyN6DzOzygjlsaLzxAUDkW.jpg,http://dns.clientetv.net:8080/movie/guitv31/Gu102/945102.mp4,1920,1080,24,139158,1.906679,"<re.Match object; span=(15, 21), match='(2012)'>",Filme,False,,,False,False,,,2012-01-11
100 Coisas para Fazer Antes de Virar Zumbi,[Animes],https://image.tmdb.org/t/p/w300/n1LkQyrG2NNqOzIJ8sAwBqaEI7L.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/956200.mp4,1280,720,23,35124,0.339835,,Série,False,1.0,4.0,False,False,,,
100 Coisas para Fazer Antes de Virar Zumbi,[Animes],https://image.tmdb.org/t/p/w300/x6P1HAEx0bcc8gX8OwmbLk41x6Q.jpg,http://dns.acaidopara.net:8080/series/igorcerqueira/ic120142750/956204.mp4,1280,720,23,34765,0.335134,,Série,False,1.0,8.0,False,False,,,
101 Dálmatas,Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sytZMXtuWlqqYs5lOzt5yjwFiAE.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/2903.mp4,960,720,23,114009,1.061369,"<re.Match object; span=(13, 19), match='(1961)'>",Filme,False,,,False,False,Disney Plus,"Aventura, Animação, Comédia, Família",1961-01-25
101 Dálmatas II A Aventura de Patch em Londres,Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xdaIKUSO2CuYDmGpLHioFzx5DDl.jpg,http://dns.acaidopara.net:8080/movie/igorcerqueira/ic120142750/945132.mp4,1840,1080,23,106138,1.453477,"<re.Match object; span=(48, 54), match='(2002)'>",Filme,False,,,False,False,Disney Plus,"Aventura, Animação, Comédia, Família",2003-03-02
11 11 11,Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,http://dns.clientetv.net:8080/movie/Beckt2/64858265/963703.mp4,1920,800,24,139466,1.857994,"<re.Match object; span=(9, 15), match='(2011)'>",Filme,False,,,False,False,,,2011-11-11
12 Dias de Presentes,Drama e História,https://image.tmdb.org/t/p/w600_and_h900_bestv2/A5yg335MX4bMJHguNR2TYT3163P.jpg,http://dns.acaidopara.net:8080/movie/igorcerqueira/ic120142750/945103.mp4,1920,1080,29,158096,1.743185,"<re.Match object; span=(21, 27), match='(2017)'>",Filme,False,,,False,False,Amazon Prime Video,"Drama, Cinema TV",2017-11-26
12 Órfãos Poderosos, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3N0nM4ouA500Xp5uSMpVazLNF0c.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83594.mp4,1280,536,23,169464,2.189812,"<re.Match object; span=(20, 26), match='(2021)'>",Filme,False,,,False,False,,,2021-06-18
